Title,Author
1Q84,Haruki Murakami
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin
A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin
"A Deepness in the Sky (Zones of Thought, #2)",Vernor Vinge
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin
"A Pattern Language: Towns, Buildings, Construction",Christopher W. Alexander
A Scanner Darkly,Philip K. Dick
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin
A Voyage to Arcturus,David  Lindsay
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami
Africa: A Biography of the Continent,John Reader
After the Quake,Haruki Murakami
Al Capone's Beer Wars: A Complete History of Organized Crime in Chicago During Prohibition,John J. Binder
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan
American Gods,Neil Gaiman
An Excess Male,Maggie Shen King
Architecture Through the Ages,Talbot Faulkner Hamlin
"Area X: The Southern Reach Trilogy (Southern Reach, #1-3)",Jeff VanderMeer
"Art of Grasshopper Manufacture (Bilingual) (Japanese, English )",Suda51
Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,Joshua Foer
Baptism of Fire (The Witcher #5),Andrzej Sapkowski
Batman Deluxe: The Killing Joke,Alan Moore
Batman: The Dark Knight Returns,Frank Miller
Batman: The Dark Knight Strikes Again,Frank Miller
Batman: Year One,Jesse Russell
Battle Royale,Koushun Takami
"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",Marlon James
"Blind Willow, Sleeping Woman",Haruki Murakami
"Blindsight (Firefall, #1)",Peter Watts
"Blood of Elves (The Witcher, #3)",Andrzej Sapkowski
"Blood of Elves (The Witcher, #3)",Andrzej Sapkowski
Borne (Borne #1),Jeff VanderMeer
Bullfinch's Mythology,Thomas Bullfinch
"Burning Chrome (Sprawl, #0)",William Gibson
Business and Technical Communication: A Guide to Writing Professionally,Maribeth Schlobohm
Challenges for Game Designers,Brenda Brathwaite
Characteristics of Games,George Skaff Elias
Chef Prudhomme's Louisiana Kitchen,Paul Prudhomme
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi
China Underground,Zachary Mexico
"Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)",Glen Cook
Coin Locker Babies,Ryū Murakami
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
"Concepts of Programming Languages, Global Edition",Robert W. Sebesta
Consider Phlebas,Iain M. Banks
"Count Zero (Sprawl, #2)",William Gibson
Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle Laakmann McDowell
Crisis on Infinite Earths,Marv Wolfman
"Dance Dance Dance (The Rat, #4)",Haruki Murakami
Dark Nights: Metal,Scott Snyder
Data Structures for Game Programmers (Premier Press Game Development) with CD-ROM,Ron Penton
David Perry on Game Design: A Brainstorming Toolbox,Michael J. Perry
Designing Games,Tynan Sylvester
