Title,Platform,Developer
10000000,PC,EightyEight Games
10 Second Ninja,PC,Four Circle Interactive
A Valley Without Wind,PC,Arcen Games
A Valley Without Wind 2,PC,Arcen Games
Abyss Odyssey,PC,ACE Team
Abzû,PC,Giant Squid
Ace of Spades,PC,"Jagex Ltd., Outsource Media (OMUK)"
Age of Mythology,PC,"Ensemble Studios, Westlake Interactive, SkyBox Labs"
AI War: Fleet Command,PC,Arcen Games
Alan Wake,Xbox 360,"Remedy Entertainment Ltd., Nitro Games, Inc."
Alan Wake's American Nightmare,PC,"Remedy Entertainment Ltd., Nitro Games, Inc."
Alpha Protocol,Xbox 360,Obsidian Entertainment
Amnesia: The Dark Descent,PC,Frictional Games
Anarchy Reigns,Xbox 360,PlatinumGames
Animal Crossing: New Leaf,Nintendo 3DS,"Nintendo EAD, SRD Co. Ltd., Monolith Software, Inc., Eighting Co., Ltd."
Another Perspective,PC,Shaun Spalding
Antichamber,PC,Demruth
Ōkami,PlayStation 4,"Clover Studio, Hexa Drive, Ready at Dawn Studios, LLC, Imagica Digitalscape Co., Ltd."
Ape Escape 3,PlayStation 2,"Procyon Studio, SIE Japan Studio"
Apollo Justice: Ace Attorney,Nintendo DS,Capcom
Assassin's Creed,Xbox 360,Ubisoft Montreal Studios
Assassin's Creed III,Xbox 360,Ubisoft Montreal Studios
Asura's Wrath,Xbox 360,"CyberConnect2 Co., Ltd."
Baba Is You,PC,Arvi Teikari
Baldur's Gate,PC,"BioWare, Beamdog"
Baldur's Gate II: Shadows of Amn,PC,BioWare
Bastion,PC,"Supergiant Games, BlitWorks"
Batman: Arkham Asylum,PC,Rocksteady Studios Ltd
Batman: Arkham Asylum,Xbox 360,Rocksteady Studios Ltd
Batman: Arkham City,PC,Rocksteady Studios Ltd
Batman: Arkham City,Xbox 360,Rocksteady Studios Ltd
BattleBlock Theater,Xbox 360 Games Store,The Behemoth
Battlefield 1,PC,DICE
Battlefield 3,PC,DICE
Battlefield 4,PC,DICE
Battlefield: Bad Company 2,PC,DICE
